0.22,5.29,8.96,14.86,58.08,191.21,158.42,206.18
-2.39,-3.83,4.27,2.4,13.57,42.98,-10.5,34.32
0.27,-0.27,-5.61,6.21,-6.08,-12.83,17.5,113.84
-5.12,14.44,-4.51,7.15,1.3,-16.48,-14.57,19.52
-1.54,15.18,-12.35,-14.58,32.6,70.61,40.52,121.76
1.88,9.18,13.77,-0.59,13.95,32.92,1.96,166.7
1.47,8.28,-4.53,-3.58,17.75,83.69,29.75,11.21
-1.62,-5.13,-2.55,9.67,7.21,19.78,32.41,66.9
1.51,0.07,5.99,24.8,34.27,62.09,47.99,75.27
2.02,-2.66,-0.7,-2.08,17.37,19.81,24.43,31.91
0.02,-1.3,-6.87,-19.76,-28.43,30.32,-27.4,18.06
-3.69,-3.8,-2.23,-1.88,20.22,49.41,117.65,126.23
5.38,6.67,5.28,21.99,47.44,61.37,18.44,54.93
-5.8,-8.86,-6.53,-0.55,4.93,32.69,-28.67,-22.73
3.38,1.43,14.54,18.36,45.12,36.36,104.62,29.35
0.45,3.37,-9.63,-21.01,-21.76,-11.16,16.21,-18.16
0.6,-8.75,8.52,16.98,6.28,-18.65,6.42,-3.91
-1.75,-3.44,3.95,11.68,33.5,27.09,-13.44,-22.19
2.21,4,4.15,37.28,23.17,15.83,-0.48,-21.21
-1.66,-5.61,8.67,15.7,14.2,27.94,43.14,72.82
3.62,0.59,-13.96,-4.6,-23.27,74.1,100.33,80.43
2.24,-3.65,1.56,14.73,27.59,39.97,14.58,7.7
0.62,-1.78,12.4,9.46,17.74,35.47,61.45,19.6
-0.45,-4.05,-7.86,-22.04,3.82,7.74,9,22.96
-1.47,5.28,2.23,-14.36,-11.08,-39.19,-50.57,-14.18
-1.08,-1.57,-11.78,-8.89,7.79,6.18,-16.36,-26.78
-2.81,5.21,1.62,-9.98,-17.82,-30.25,-28.23,-23.44
-0.14,-5.36,0.48,16.08,42.44,75.08,50.39,159.38
3.41,2.22,3.85,-13.01,12.89,67.8,-21.98,-46.75
-4.81,7.25,-7.1,-2.91,8.83,8.41,-3.63,n/a
0.82,12.72,15.93,-5.62,-20.44,-31.57,-64.1,-5.23
-2.6,4.64,6.08,16.6,38.66,43.56,23.87,53.75
1.55,4.58,2.74,5.11,19.45,18.64,22.24,51.52
0.25,-2.12,-3.35,1.19,-2.3,25.15,30.19,191.25
3.97,27.24,7.57,12.95,19.65,-15.39,-19.2,-0.03
-1.7,16.11,-11.9,-9.83,-9.49,-14.47,18.77,81.9
3.05,-9.93,0,-7.16,-1.08,11.81,5.16,-14.07
-1.49,-3.17,14.39,18.54,12.44,40.99,n/a,n/a
-3.8,-1.74,-6.45,8.91,29.22,17.58,-9.72,30.1
0,-1.9,-1,46.82,40.91,24.77,-22.56,-38.6
-0.52,-1.15,4.29,5.98,-8.19,45.94,-19.02,-7.15
-0.71,-4.43,-10.45,-4.34,14.65,29.8,35.46,-29.64
-2.6,-7.85,-1.84,0.57,24.26,75.15,4.04,67.24
-1.87,3.57,0.25,1.36,2.19,45.26,60.22,12.41
-0.5,-0.06,-0.06,-0.5,15.9,51.74,8.84,88.52
5.45,0.22,9.49,34.64,31.28,12.76,48.86,20.79
1.24,-2.16,-3.84,-0.95,12.06,49.23,43.46,3.87
3.01,10.23,1.98,6.66,38.72,91.24,70.08,74.83
-2.26,-1.52,-6.92,-0.67,49.17,96.49,-0.67,54.4
5.01,2.94,11.32,12.87,31.92,94.76,10.25,-35.18
-1.95,1.03,5.52,3.44,19.1,35.96,1.54,-4.83
-8.39,-7.12,17.09,5.16,-9.47,28.44,-37.35,-10.91
0.45,13.78,18.85,28.91,43.3,47.08,-3.94,61.88
-1.48,-4.17,-0.39,0.56,4.96,25.3,-8.2,-24.63
0.13,-0.4,-3.66,-10.67,2.01,-0.18,-21.05,-7.26
3.48,5.24,2.31,11.9,37.05,40.89,26.85,12.85
-2.65,-2.65,9.59,8.95,22.31,33.95,32.03,38.58
-1.92,-3.62,1.58,2.1,14.85,18.75,-16.88,-7.21
1.24,-1.21,-3.3,-1.01,3.56,20.14,2.4,n/a
2.59,6.53,27.96,48.57,68.54,293.68,117.96,127.96
-4.46,-5.13,-24.3,-33.59,-7.33,43.71,-12.04,-25.58
3.24,0.56,-7.66,0.81,3.16,1.74,-18.98,-9.04
-1.74,-4.56,5.71,6.07,12.23,20.23,21.69,24.37
6.73,8.01,9.05,26.4,54,54.61,44.46,66.84
1.86,0.25,13.02,12.95,42.84,121.9,32.8,68.85
-0.58,-2.99,1.34,1.49,13.77,11.39,37.9,46.95
-4.46,-2.27,9.08,24.34,47.61,29.51,-38.15,-23.73
-1.72,-9.66,-5.16,-5.16,8.91,-2.78,-20.21,-23.16
-2.13,14.43,-6.39,-3.34,-23.12,-25.36,-54.17,-44.58
2.21,3.47,8.22,8.62,-20.34,-20.77,-14.8,-24.28
-0.06,-1.44,-1.28,7.25,22.17,58.37,65.38,89.89
-1.63,-25.11,-23.78,-21.2,-41.02,-23.44,-39.29,-22.01
-0.48,-7.16,15.16,18.45,6.64,33.36,-7.1,18.63
-4.81,11.14,-2.97,-3.17,0.12,-1,2.84,23.51
-0.64,11.63,16.69,29.74,149.65,669.34,268.82,110.41
0.8,1.5,-2.18,-16.42,1.58,45.44,42.32,48.82
-1.64,-3.74,10.43,7.78,11.98,66.47,-2.57,40.08
1.73,5.75,-6.26,-5.81,-12.14,-7.3,-40.59,-28.06
-0.26,7.15,-5.13,-2.02,24.06,14.7,-37.84,73.54
-1.64,-5.75,-9.25,-2.55,14.08,16.58,-30.11,5.45
-3.31,-6.76,-4.01,6.4,5.06,10.81,-3.57,18.38
1.13,3.37,-8.47,-9.62,-2.63,11.41,51.76,11.98
-4.12,-9.56,0.09,12.54,11.44,7.68,-12.94,-42.05
-1.21,0.53,10.02,10.71,60.96,68.5,18.74,33.88
-3.61,-10.25,-7.39,-0.06,-2.46,2.99,10.7,2.13
-6.24,-7.06,-19.23,-28.65,-22.25,-34.9,-52.34,-8.29
-3.36,-7.73,-0.84,15.09,16.44,22.29,18.21,46.69
4.64,11.28,15.66,22.81,9.96,46.44,73.54,28.92
-8.02,-5.5,0.2,16.97,29.59,69.66,1.91,2.84
-1.26,-2.23,15.71,21.01,28.17,74.38,30.41,58.05
-0.33,-4.3,8.55,25.36,21.03,22.38,23.76,0.12
-0.27,-6.93,-0.16,-0.22,0.82,13.3,-12.63,-16.29
-0.92,-4.12,-3.89,2.68,6.7,20.93,4.33,29.49
-30.69,-34.14,-30.16,-22.59,11.86,65.78,-19.7,-9.41
1.25,-1.09,3.06,11.17,-3.53,-26.43,-33.4,-54.15
-0.19,8.04,8.48,2.61,15.72,44.44,32.17,57.51
-1.85,0.46,5.3,-5.29,-7.59,26.24,-5.58,-11.25
-2.23,2.44,3.93,0.08,1.59,-0.53,-23.05,-21.58
